Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
76,2025-12-26,14:50,buy,87820.74,0.00035,30.737259,0.030737259,0.0025800000000000007,1017.5772830000001,789.4972310000002
77,2025-12-26,14:55,buy,87409.12,0.0003,26.222735999999998,0.026222735999999996,0.0028800000000000006,1043.800019,789.4972310000002
78,2025-12-26,15:01,buy,86997.5,0.0003,26.099249999999998,0.026099249999999997,0.0031800000000000005,1069.899269,789.4972310000002
79,2025-12-27,23:47,sell,87893.67,0.00049,43.067898299999996,0.0430679,0.0026900000000000014,1069.899269,832.5651293000002
80,2025-12-28,22:50,sell,87913.89,0.00049,43.0778061,0.04307781,0.0022000000000000006,1069.899269,875.6429354000002
81,2025-12-29,00:31,sell,88220.51,0.00042,37.0526142,0.03705261,0.0017800000000000003,1069.899269,912.6955496000002
82,2025-12-29,01:15,buy,87984.49,0.00049,43.1124001,0.043112400099999997,0.002270000000000001,1113.0116691,912.6955496000002
83,2025-12-29,02:00,sell,88602.55,0.00049,43.4152495,0.04341525,0.0017800000000000003,1113.0116691,956.1107991000001
84,2025-12-29,02:03,sell,88911.57,0.00042,37.3428594,0.03734286,0.00136,1113.0116691,993.4536585000001
85,2025-12-29,02:07,sell,89220.6,0.00036,32.119416,0.03211942,0.0010000000000000009,1113.0116691,1025.5730745
86,2025-12-29,03:14,sell,89496.15,0.00057,51.01280549999999,0.05101281,0.00043000000000000156,1113.0116691,1076.58588
87,2025-12-29,03:58,sell,90120.44,0.00041,36.9493804,0.03694938,0.00002000000000000092,1113.0116691,1113.5352604000002
88,2025-12-29,06:48,buy,89800.62,0.00078,70.04448359999999,0.0700444836,0.0008000000000000004,1183.0561527,1113.5352604000002
89,2025-12-29,09:30,buy,89291.05,0.00078,69.647019,0.069647019,0.0015799999999999998,1252.7031717,1113.5352604000002
90,2025-12-29,09:33,buy,88782.09,0.0006,53.269254,0.053269253999999995,0.0021799999999999996,1305.9724257,1113.5352604000002
91,2025-12-29,09:41,buy,88273.14,0.00045,39.722913,0.039722913,0.0026300000000000004,1345.6953387,1113.5352604000002
92,2025-12-29,10:57,buy,87764.19,0.00046,40.371527400000005,0.0403715274,0.0030900000000000007,1386.0668661000002,1113.5352604000002
93,2025-12-29,12:08,buy,87056.65,0.00074,64.421921,0.064421921,0.003830000000000002,1450.4887871,1113.5352604000002
94,2025-12-30,08:08,sell,87829.56,0.00046,40.4015976,0.0404016,0.0033700000000000015,1450.4887871,1153.9368580000003
95,2025-12-30,14:20,sell,88266.53,0.00017,15.0053101,0.01500531,0.0032000000000000015,1450.4887871,1168.9421681000003
96,2025-12-30,14:20,sell,88266.53,0.0002,17.653306,0.01765331,0.003000000000000001,1450.4887871,1186.5954741000003
97,2025-12-30,15:02,buy,88604.77,0.00054,47.846575800000004,0.047846575800000006,0.0035399999999999997,1498.3353629,1186.5954741000003
98,2025-12-30,15:50,sell,88988.84,0.00054,48.0539736,0.04805397,0.002999999999999999,1498.3353629,1234.6494477000003
99,2025-12-30,19:06,buy,88103.38,0.00054,47.575825200000004,0.047575825200000005,0.003539999999999998,1545.9111881000001,1234.6494477000003
100,2025-12-31,11:31,sell,88966.28,0.00039,34.696849199999996,2.6663194116,0.0031499999999999983,1545.9111881000001,1269.3462969000004
101,2025-12-31,14:45,buy,88521.45,0.00039,34.5233655,2.639709639,0.0035399999999999997,1580.4345536,1269.3462969000004
102,2025-12-31,15:11,buy,88081.04,0.0004,35.232416,2.6926373928,0.003940000000000001,1615.6669696000001,1269.3462969000004
103,2025-12-31,16:42,buy,87638.42,0.00032,28.044294400000002,2.1401302164,0.004260000000000002,1643.711264,1269.3462969000004
104,2025-12-31,18:28,sell,87978.9,0.00043,37.830926999999996,2.8909866539999998,0.003830000000000002,1643.711264,1307.1772239000004
105,2025-12-31,19:55,buy,87540.1,0.00043,37.642243,2.8625612700000005,0.004260000000000002,1681.353507,1307.1772239000004
106,2026-01-01,17:21,sell,88209.75,0.00037,32.6376075,2.5130957775,0.003890000000000001,1681.353507,1339.8148314000005
107,2026-01-01,23:32,sell,88808.26,0.00039,34.6352214,2.6678001304,0.0035000000000000014,1681.353507,1374.4500528000005
108,2026-01-02,01:37,buy,88529.06,0.00048,42.4939488,3.2738046388,0.003980000000000003,1723.8474558,1374.4500528000005
109,2026-01-02,03:13,sell,88838.91,0.00048,42.642676800000004,3.2888164482000004,0.003500000000000003,1723.8474558,1417.0927296000004
110,2026-01-02,08:35,sell,89150.94,0.00048,42.7924512,3.2968017612000002,0.003020000000000002,1723.8474558,1459.8851808000004
111,2026-01-02,09:49,sell,89461.88,0.00041,36.6793708,2.8261007892000003,0.002610000000000001,1723.8474558,1496.5645516000004
112,2026-01-02,10:07,sell,89772.82,0.00035,31.420487,2.4247638682000003,0.0022600000000000016,1723.8474558,1527.9850386000005
113,2026-01-02,14:50,sell,90083.76,0.00028,25.223452799999997,1.9431067031999998,0.0019800000000000026,1723.8474558,1553.2084914000004
114,2026-01-02,16:31,sell,90394.7,0.00025,22.598675,1.732866399,0.0017300000000000024,1723.8474558,1575.8071664000004
115,2026-01-02,16:33,sell,90705.64,0.00025,22.67641,1.7442694572,0.0014800000000000021,1723.8474558,1598.4835764000004
